date,Adj Close,Volume,EMA_5,EMA_10,MACD,RSI,Bollinger_High,Bollinger_Low,OBV,ADX,MFI,MOM,SAR,Interest Rate,Yield Spread,GDP,Unemployment Rate,Inflation Rate,news_sentiment
1/2/14,1831.97998,3080600000,1836.91916,1829.090765,15.86802758,60.88475386,1857.761547,1762.159436,1.27446E+11,25.25477059,64.17647569,2.862435737,1805.629856,0.07,2.61,17197.738,6.6,235.288,0
1/3/14,1831.369995,2774270000,1835.069439,1829.505171,15.11271532,60.53125759,1859.877218,1763.89976,1.24671E+11,25.10365211,64.8564706,1.144338797,1811.763268,0.07,2.6,17197.738,6.6,235.288,0.136363636
1/6/14,1826.77002,3294850000,1832.302966,1829.00787,13.98177216,57.80562576,1860.724953,1767.226023,1.21377E+11,24.44522705,64.34782545,0.948830912,1817.038002,0.07,2.58,17197.738,6.6,235.288,0
1/7/14,1837.880005,3511750000,1834.161979,1830.620986,13.82263579,62.22931854,1863.293657,1767.936323,1.24888E+11,24.03440421,64.68359772,1.0757215,1821.574274,0.07,2.56,17197.738,6.6,235.288,0
1/8/14,1837.48999,3652140000,1835.271316,1831.869896,13.5093211,61.9836443,1865.547589,1768.594391,1.21236E+11,23.65292586,72.67378051,0.5196965,1823.72998,0.07,2.58,17197.738,6.6,235.288,0
1/9/14,1838.130005,3581150000,1836.224212,1833.008097,13.16094955,62.24704036,1867.675798,1770.017183,1.24817E+11,23.53424073,72.24163968,0.262368748,1827.329375,0.07,2.53,17197.738,6.6,235.288,0
1/10/14,1842.369995,3335710000,1838.272807,1834.710261,13.07625938,64.02530163,1868.65668,1775.051303,1.28153E+11,23.42403312,72.17355486,0.018999554,1830.380005,0.07,2.49,17197.738,6.6,235.288,0
1/13/14,1819.199951,3591350000,1831.915188,1831.890204,11.01256689,50.12947445,1865.78902,1782.288959,1.24562E+11,21.91048974,62.1193395,-1.205608393,,0.07,2.45,17197.738,6.6,235.288,0
1/14/14,1838.880005,3353270000,1834.236794,1833.161077,10.84013328,58.39010972,1862.882219,1791.551766,1.27915E+11,20.50505661,62.601575,-0.118949387,,0.07,2.49,17197.738,6.6,235.288,0
1/15/14,1848.380005,3777800000,1838.951197,1835.928155,11.3393362,61.68904985,1861.811661,1798.80632,1.31693E+11,19.87563289,64.79138241,0.001083097,1815.52002,0.07,2.49,17197.738,6.6,235.288,0
1/16/14,1845.890015,3491310000,1841.264136,1837.739402,11.40259469,60.33874187,1856.19393,1810.913052,1.28202E+11,19.26899576,58.05675876,0.759289639,1816.226418,0.07,2.45,17197.738,6.6,235.288,0
1/17/14,1838.699951,3626120000,1840.409408,1837.914047,10.74864577,56.49333968,1855.083207,1814.828768,1.24575E+11,18.19228028,51.55097687,0.400244411,1816.918689,0.07,2.44,17197.738,6.6,235.288,0
1/21/14,1843.800049,3782470000,1841.539622,1838.98423,10.52064633,58.51304287,1853.413126,1819.918856,1.28358E+11,17.48604405,57.9573058,0.932248127,1817.597115,0.07,2.45,17197.738,6.6,235.288,0
1/22/14,1844.859985,3374170000,1842.64641,1840.052549,10.30667423,58.93966205,1852.809728,1823.176259,1.31732E+11,16.83025327,58.88314683,0.379784341,1818.261972,0.07,2.43,17197.738,6.6,235.288,0
1/23/14,1828.459961,3972250000,1837.917593,1837.944806,8.71331324,50.31782228,1852.771055,1823.261928,1.2776E+11,16.89593915,57.82807519,-0.491432843,1818.913532,0.07,2.4,17197.738,6.6,235.288,0
1/24/14,1790.290039,4618450000,1822.041742,1829.280303,4.320762418,36.81832051,1861.366619,1810.363374,1.23141E+11,18.54500802,55.82371323,-2.602643213,,0.07,2.38,17197.738,6.6,235.288,0.45
